X,Y,count,ACCIDENT_NO,Year,Quarter,AGE,RD_U_DESC,SEX,N_TYPE_DES,Region,DAY_OF_WEEK,Day Week Description,Light,NO_PERSONS_KILLED,Road,Speed,Weather,Death,NO_PERSONS,Lng,Lat
2602929.283,2346730.399,1,T20190002576,2019,1,57,Motorcyclists,M,Intersection,SOUTH GIPPSLAND,1,Sunday,Day,1,T intersection,100,Clear,0.142857143,7,146.1777795,-38.3752648
2529823.877,2404436.484,1,T20190002873,2019,1,28,Motorcyclists,M,Intersection,YARRA RANGES,5,Thursday,Day,1,T intersection,70,Clear,0.5,2,145.338928,-37.86066338
2717888.688,2534447.89,1,T20190003466,2019,1,68,Motorcyclists,M,Non Intersection,TOWONG,5,Thursday,Day,1,Not at intersection,100,Clear,1,1,147.4377911,-36.66439843
2511727.274,2393442.569,1,T20190003541,2019,1,24,Motorcyclists,M,Intersection,DANDENONG,7,Saturday,Day,1,T intersection,60,Clear,0.5,2,145.1334481,-37.96011915
2470545.762,2405364.553,1,T20190003620,2019,1,26,Motorcyclists,M,Intersection,WYNDHAM,1,Sunday,Dark Street lights on,1,T intersection,50,Clear,0.5,2,144.6653097,-37.85231342
2520764.205,2364151.366,1,T20190003695,2019,1,61,Motorcyclists,M,Non Intersection,MORNINGTON PENINSULA,2,Monday,Day,1,Not at intersection,100,Clear,0.25,4,145.2371118,-38.22384121
2182743.702,2525532.19,1,T20190004747,2019,1,42,Motorcyclists,M,Non Intersection,WEST WIMMERA,3,Tuesday,Day,1,Not at intersection,100,Clear,1,1,141.4476091,-36.71654218
2533716.108,2403077.845,1,T20190004969,2019,1,63,Motorcyclists,M,Non Intersection,YARRA RANGES,6,Friday,Day,1,Not at intersection,60,Clear,0.5,2,145.3832223,-37.87277141
2508855.845,2408916.597,1,T20190006324,2019,2,26,Motorcyclists,M,Intersection,BOROONDARA,4,Wednesday,Day,1,T intersection,60,Clear,0.5,2,145.1005872,-37.820734
2499508.416,2412066.474,1,T20190007191,2019,2,24,Motorcyclists,M,Intersection,YARRA,2,Monday,Dark Street lights on,1,Cross intersection,60,Clear,0.25,4,144.9944185,-37.79239541
2544678.711,2565283.53,1,T20190008376,2019,2,19,Motorcyclists,M,Non Intersection,SHEPPARTON,7,Saturday,Dark No street lights,1,Not at intersection,100,Clear,0.5,2,145.4981752,-36.41058002
2745017.096,2608283.266,1,T20190008420,2019,2,58,Motorcyclists,M,Non Intersection,TOWONG,7,Saturday,Day,1,Not at intersection,80,Clear,1,1,147.7175781,-35.99257811
2505309.203,2398579.356,1,T20190008725,2019,2,47,Motorcyclists,M,Intersection,GLEN EIRA,5,Thursday,Day,1,T intersection,70,Clear,0.5,2,145.0603779,-37.91389785
2490617.953,2412062.293,1,T20190008897,2019,2,26,Motorcyclists,M,Intersection,MARIBYRNONG,7,Saturday,Dark Street lights on,1,T intersection,60,Clear,0.25,4,144.893476,-37.79238591
2544998.854,2428088.383,1,T20190009351,2019,2,31,Motorcyclists,M,Non Intersection,YARRA RANGES,7,Saturday,Day,1,Not at intersection,60,Clear,0.25,4,145.5099388,-37.64694608
2444783.743,2381955.576,1,T20190010242,2019,2,28,Motorcyclists,M,Intersection,GEELONG,6,Friday,Dark Street lights on,1,T intersection,50,Clear,1,1,144.3708229,-38.06203849
2523716.169,2386561.878,1,T20190010635,2019,2,30,Motorcyclists,M,Non Intersection,CASEY,5,Thursday,Dusk/Dawn,1,Not at intersection,60,Clear,0.5,2,145.2700948,-38.02188053
2469335.053,2399734.584,1,T20190012592,2019,3,25,Motorcyclists,M,Non Intersection,WYNDHAM,7,Saturday,Day,1,Not at intersection,60,Clear,1,1,144.6513182,-37.90299883
2528230.075,2418216.713,1,T20190013546,2019,3,40,Motorcyclists,M,Intersection,YARRA RANGES,7,Saturday,Day,1,T intersection,80,Clear,0.333333333,3,145.3202888,-37.73655261
2501991.205,2415026.974,1,T20190015521,2019,3,47,Motorcyclists,M,Non Intersection,DAREBIN,6,Friday,Dark Street lights on,1,Not at intersection,60,Clear,1,1,145.0226002,-37.76571879
2480646.605,2418315.198,1,T20190018287,2019,3,55,Motorcyclists,M,Non Intersection,BRIMBANK,5,Thursday,Day,1,Not at intersection,70,Clear,0.25,4,144.7804251,-37.73589202
2562522.97,2615242.983,1,T20190019157,2019,4,47,Motorcyclists,M,Non Intersection,MOIRA,3,Tuesday,Dark No street lights,1,Not at intersection,100,Clear,1,1,145.6930802,-35.95932318
2527904.351,2371220.881,1,T20190020081,2019,4,67,Motorcyclists,M,Intersection,CASEY,1,Sunday,Day,1,T intersection,80,Clear,0.5,2,145.3183764,-38.15996865
2262813.181,2514099.543,1,T20190020082,2019,4,42,Motorcyclists,M,Intersection,HORSHAM,1,Sunday,Day,1,Y intersection,100,Clear,1,1,142.3400449,-36.84306578
2424525.008,2523265.148,1,T20190021336,2019,4,64,Motorcyclists,M,Non Intersection,BENDIGO,3,Tuesday,Day,1,Not at intersection,100,Clear,0.333333333,3,144.1542935,-36.78730547
2510511.624,2415258.788,1,T20190021633,2019,4,44,Motorcyclists,M,Intersection,MANNINGHAM,6,Friday,Day,1,T intersection,60,Clear,0.333333333,3,145.1193037,-37.76357288
2600847.682,2365321.789,1,T20190022207,2019,4,44,Motorcyclists,M,Intersection,BAW BAW,7,Saturday,Dusk/Dawn,1,Cross intersection,60,Raining,0.5,2,146.1513902,-38.20803686
2513151.904,2355702.713,1,T20190022992,2019,4,33,Motorcyclists,M,Non Intersection,MORNINGTON PENINSULA,2,Monday,Dark No street lights,1,Not at intersection,100,Clear,0.5,2,145.1503375,-38.30008672
2537661.762,2413145.012,1,T20190023165,2019,4,39,Motorcyclists,M,Intersection,YARRA RANGES,4,Wednesday,Day,1,T intersection,60,Clear,0.5,2,145.4275547,-37.78191575
2696236.869,2569342.034,1,T20190023940,2019,4,71,Motorcyclists,M,Non Intersection,TOWONG,6,Friday,Day,1,Not at intersection,100,Clear,1,1,147.1866699,-36.35474328
